samples_per_class,accuracy,label,precision,recall,f1-score,support
350,0.7525851197982345,1,0.9653846153846154,0.3426621160409556,0.5057934508816121,2930
375,0.7515762925598991,0,0.7208454810495627,0.989,0.8338954468802698,5000
375,0.7515762925598991,1,0.9485981308411215,0.3464163822525597,0.5075,2930
400,0.7467843631778058,0,0.7201942890785987,0.9786,0.8297439375953874,5000
400,0.7467843631778058,1,0.9058098591549296,0.3511945392491467,0.5061485489424495,2930
425,0.7551071878940732,0,0.7230814123139773,0.9912,0.8361734435633541,5000
425,0.7551071878940732,1,0.9591078066914498,0.3522184300341297,0.5152271592611083,2930
450,0.7515762925598991,0,0.7207811133780239,0.9892,0.8339234530433316,5000
450,0.7515762925598991,1,0.949438202247191,0.3460750853242321,0.5072536268134067,2930
475,0.7520807061790669,0,0.7204301075268817,0.9916,0.8345396397912809,5000
475,0.7520807061790669,1,0.9599236641221374,0.3433447098976109,0.5057817998994469,2930
500,0.7539722572509457,0,0.7220037862239697,0.9916,0.8355945057723098,5000
500,0.7539722572509457,1,0.9604891815616181,0.3484641638225256,0.5113949411470072,2930
525,0.7542244640605297,0,0.7216974276994623,0.9932,0.8359565693123474,5000
525,0.7542244640605297,1,0.9675881792183031,0.3464163822525597,0.5101784367931641,2930
550,0.7532156368221942,0,0.721180404128507,0.9922,0.8352554928866066,5000
550,0.7532156368221942,1,0.9628924833491912,0.3453924914675768,0.5084149711127858,2930
575,0.7548549810844892,0,0.7215777262180975,0.9952,0.8365837256220578,5000
575,0.7548549810844892,1,0.97678916827853,0.3447098976109215,0.5095862764883956,2930
600,0.7538461538461538,0,0.720933603943172,0.9946,0.8359388132459237,5000
600,0.7538461538461538,1,0.9738372093023255,0.3430034129692833,0.5073195355880868,2930
625,0.7549810844892813,0,0.7219398867431392,0.9944,0.8365441238327584,5000
625,0.7549810844892813,1,0.9731543624161074,0.3464163822525597,0.5109489051094891,2930
650,0.7549810844892813,0,0.7214896391827271,0.9958,0.8367364087051509,5000
650,0.7549810844892813,1,0.9795918367346939,0.3440273037542662,0.5092194998737055,2930
675,0.7546027742749054,0,0.7213685126123514,0.9952,0.8364430996806186,5000
675,0.7546027742749054,1,0.9767441860465116,0.3440273037542662,0.508833922261484,2930
700,0.7547288776796973,0,0.7213447326474424,0.9956,0.8365683556003697,5000
700,0.7547288776796973,1,0.9786200194363459,0.3436860068259386,0.5087143217984339,2930
725,0.7567465321563682,0,0.7228915662650602,0.996,0.8377491799142064,5000
725,0.7567465321563682,1,0.9807877041306436,0.3484641638225256,0.5142281541173508,2930
750,0.7546027742749054,0,0.7212402202260214,0.9956,0.836498067551672,5000
750,0.7546027742749054,1,0.9785992217898832,0.3433447098976109,0.5083375442142496,2930
775,0.7539722572509457,0,0.7218745451899287,0.992,0.8356499031252632,5000
775,0.7539722572509457,1,0.9622285174693107,0.3477815699658703,0.5109049887189772,2930
800,0.7562421185372005,0,0.7226012483669618,0.9956,0.8374127344604256,5000
800,0.7562421185372005,1,0.978866474543708,0.3477815699658703,0.5132208511709897,2930
825,0.7543505674653216,0,0.7214161346488682,0.9944,0.836192398250925,5000
825,0.7543505674653216,1,0.9730250481695568,0.3447098976109215,0.5090725806451613,2930
850,0.7547288776796973,0,0.7211524540321413,0.9962,0.8366507096665827,5000
850,0.7547288776796973,1,0.9814271749755621,0.3426621160409556,0.5079686314191754,2930
875,0.7566204287515763,0,0.7227219965177016,0.9962,0.8377060208543559,5000
875,0.7566204287515763,1,0.9816955684007708,0.3477815699658703,0.5136088709677419,2930
900,0.7566204287515763,0,0.7222704894294816,0.9976,0.8378968587266924,5000
900,0.7566204287515763,1,0.98828125,0.3453924914675768,0.5118866970156803,2930
925,0.7554854981084489,0,0.7216509775524982,0.9966,0.837127257454851,5000
925,0.7554854981084489,1,0.9834146341463414,0.3440273037542662,0.5097345132743363,2930
950,0.7568726355611601,0,0.7228024369016536,0.9966,0.8379014629224819,5000
950,0.7568726355611601,1,0.9835907335907336,0.3477815699658703,0.51386787695411,2930
975,0.7566204287515763,0,0.7226573832317957,0.9964,0.8377333109130655,5000
975,0.7566204287515763,1,0.9826254826254827,0.3474402730375427,0.513363590519415,2930
1000,0.7563682219419924,0,0.7225123295619379,0.9962,0.8375651589036489,5000
1000,0.7563682219419924,1,0.9816602316602316,0.347098976109215,0.5128593040847201,2930
